,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
8-4,1,2,4,1,0,2,,,1,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,
8-5,1,2,4,1,2,5,1,,,,1,,,,1,,,1,1,,,,,,,,,,1,,,,,,,,
8-6,1,3,1,1,0,8,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
8-7,1,5,2,3,0,10,2,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,
8-8,2,3,4,4,1,6,1,,,,1,1,,,,,,,1,,,,,,1,,,,2,,,,,,,,
8-9,0,6,2,3,1,3,2,,4,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
8-10,0,3,2,6,1,7,3,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
8-11,1,2,1,1,0,7,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
8-12,0,1,1,3,0,6,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
8-13,0,0,2,2,1,8,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
8-14,1,4,0,1,0,4,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
8-15,1,3,6,4,2,3,1,,1,,1,,,,,,,,1,1,,,,,,,,1,1,,,,,1,1,,
8-16,4,3,4,2,1,9,,1,,,2,,,,1,,,,,,,,,1,,,,1,1,,,,,,,,
8-17,0,3,3,5,0,3,,1,,,,1,1,,,,,,,1,,,,,,,,,1,,,,,,1,,
8-18,2,3,0,3,0,6,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-19,2,3,2,1,0,5,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,
8-20,0,0,2,1,0,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
8-21,1,4,4,6,2,7,2,,,,1,1,,,1,,,,1,,1,,,,,,,,1,,,,,,,,
8-22,1,0,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
8-23,2,3,1,3,0,3,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
8-24,1,1,3,6,0,10,1,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,
