,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
55-14,0,2,3,4,0,6,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,
55-15,3,3,5,2,1,7,1,,2,,,,,,,,1,,,,,1,,,,,,,2,,1,,,,,,
55-16,3,3,3,2,1,9,1,,2,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,
55-17,7,5,2,13,1,11,,,2,1,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,,
55-18,2,2,4,9,4,9,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,
55-19,0,7,7,2,1,11,2,,1,2,2,,,,1,1,,,,,,,,,,,,,,2,1,1,1,,,,
55-20,2,3,9,6,3,8,,2,,,1,,,,3,,,,,,,,,,,1,,,,3,,,2,,,,
55-21,2,8,6,8,2,6,,,1,2,1,4,,,,1,,,,,,,,,,1,1,,,,1,,,1,1,,
55-22,1,5,4,3,1,8,1,1,2,,1,,,,,,,,,,,,,,,2,,,,1,1,,,,,,
55-23,1,6,4,1,0,5,,,5,1,,,,,,1,,,,1,,,,,,,,,,,,2,,,,,
55-24,0,9,6,12,9,9,4,1,,2,,,2,,,1,,1,,,,,,,,,,,,1,1,1,1,,,,
55-25,0,3,6,7,1,4,,1,1,,1,,,,,,,,,,1,1,,,,1,,,,,,2,1,,,,
55-26,2,2,0,6,1,6,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
55-27,0,3,4,2,0,8,1,1,,,,1,,,1,,,,,,,,,,,,1,,,1,,,1,,,,
55-28,0,2,4,2,2,6,,,,2,,,,,,,,,,,,,,,,,,,,,,3,1,,,,
55-29,2,3,4,2,2,10,1,1,,1,,,,,,,,,1,,,,,,2,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-1,0,6,2,3,1,9,3,,,,2,1,,,,,,,,,1,,,,,,,1,,,,,,,,,
56-2,0,3,3,6,1,6,,1,,,1,,1,,,,,1,,,,,,,,,,,,,2,,,,,,
56-3,1,1,0,2,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-4,0,3,3,4,2,4,1,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,1,,
56-5,0,2,3,2,2,6,,,,,1,,1,,,,,,,,,,,,,,,1,,,1,,,,1,,
56-6,1,14,15,13,5,19,3,1,1,1,6,1,1,,,1,,2,1,1,1,,,,,,,2,,1,,1,4,,1,,
56-7,1,3,3,4,2,7,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,2,,,,
56-8,1,8,13,12,13,13,,2,1,,5,,,,,,,,1,,,,,1,,,,,,4,,1,5,,1,,
56-9,1,12,4,6,1,7,2,,,,10,,,,,,,1,,,,,,,,,,,,,1,,2,,,,
56-10,1,6,4,5,6,8,1,1,,1,3,,,,,2,,,,,,,,,,,,,,,,1,,,1,,
56-11,0,3,1,3,1,2,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
56-12,0,4,3,2,3,12,1,,,,3,,,,1,,,1,,,,,,,,,,,,,,1,,,,,
56-13,1,3,4,4,3,7,,,,,3,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,
56-14,1,3,2,1,1,5,2,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,
56-15,2,1,3,3,3,7,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,1,,,
56-16,1,3,1,5,1,4,2,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
56-17,2,4,0,4,2,9,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
56-18,1,6,3,4,2,6,,,2,2,2,,,,,,,,,,,,,,,,,,,1,,,2,,,,
56-19,0,10,8,6,2,2,2,3,,,5,,,,1,,3,1,,2,,,,,,,,1,,,,,,,,,
56-20,0,1,0,1,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
56-21,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-22,5,1,1,2,2,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
56-23,0,3,2,2,5,7,2,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,
56-24,0,3,5,3,0,6,,,,,2,,1,,,,,,,,,1,,,,1,,,,,,,,,3,,
56-25,0,1,1,3,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
56-26,1,8,4,3,3,9,1,,3,,3,,1,,,,,,,1,,,,1,,,,,,,2,,,,,,
56-27,0,1,1,4,0,3,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
56-28,0,3,1,6,0,3,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,
56-29,2,3,1,2,1,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,
56-30,4,1,1,2,0,5,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
56-31,3,6,0,4,0,4,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
56-32,1,7,4,12,2,10,,,,,4,3,,,1,,,,,,,,,,,,,,,,,,3,,,,
56-33,0,6,2,7,3,6,,,1,1,4,,,,,,,,,,,,,,,,,,,1,,,1,,,,
56-34,0,6,3,1,1,4,1,1,,,4,,,,,,,,,,,,,,,,,,,1,1,,1,,,,
56-35,0,5,2,2,1,3,2,,,2,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,
56-36,0,3,0,2,1,4,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
56-37,0,0,3,7,5,6,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,
56-38,1,8,1,4,2,3,1,,,,6,1,,,,,,,,,,,,,,,,,,,,,1,,,,
56-39,1,3,3,1,1,6,,1,,1,,1,,,,1,,,,,,,1,,,,,,,,,,1,,,,
56-40,1,3,4,1,0,2,,,,,3,,,,1,,,1,,1,,,,,,,,,,,,,,,1,,
56-41,2,6,2,3,0,3,1,2,,,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57-1,,10,7,9,5,9,,9,1,,,,,,,,,,,,,,,,,,1,,,4,,,2,,,,
57-2,2,14,3,4,1,10,1,9,2,2,,,,,2,,,,,,,,,,,,,,,1,,,,,,,
57-3,3,7,6,3,2,17,3,2,,1,,1,,,2,,,,,,,,,,,1,,,,1,1,,1,,,,
57-4,1,5,3,5,2,7,2,1,,,2,,,,1,,,,,,,,,,,1,,,,,,,1,,,,
57-5,5,5,2,3,1,1,1,2,,,1,1,,,,,,,,,,,,,,,2,,,,,,,,,,
57-6,,2,,2,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
57-7,,3,,3,,2,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
57-8,,6,6,2,2,11,2,4,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,
57-9,1,5,2,3,1,5,1,2,,,2,,,,,,,1,,,,,,,,,1,,,,,,,,,,
57-10,2,7,4,9,2,6,1,6,,,,,,,1,1,,,,,,,,,,,,,,1,,,1,,,,
57-11,1,16,6,10,2,13,,10,,4,2,,,,1,,,,,,,,1,,,1,2,,,1,,,,,,,
57-12,1,14,5,10,1,16,2,6,2,4,,,,,1,,,,,,,,,,,,,,,,,,3,1,,,
57-13,,16,15,17,5,24,6,1,1,1,5,1,1,,2,,,1,,1,,,,,,,,,,1,1,,9,,,,
57-14,3,6,6,10,7,15,3,1,,2,,,,,1,1,,,1,,,,,,,,,,,1,,,1,1,,,
57-15,1,7,3,7,2,5,1,4,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
57-16,,8,1,5,2,14,1,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
57-17,4,17,6,6,4,11,2,11,1,2,1,,,,,,,,,,,,,,,,1,,,3,,1,,1,,,
57-18,3,8,10,13,7,12,2,5,1,,,,,,1,,,,,1,,,1,,,,2,,,1,,,3,1,,,
57-19,2,4,8,2,2,6,,3,,1,,,,,2,,,,,,,1,,,,,,,,1,,,4,,,,
57-20,,5,,3,2,4,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
57-21,,10,5,5,5,3,,9,1,,,,,,2,,,,,,,,,,,,1,,,1,,,1,,,,
57-22,1,9,4,7,5,8,3,2,2,,1,,1,,1,,,,,,,,,,,,,,,,1,,2,,,,
57-23,,4,7,1,6,12,3,1,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,
57-24,,7,3,6,4,9,2,4,,1,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,
57-25,1,5,5,5,2,12,,5,,,,,,,,,,,,,,,,,,2,,,,2,,,1,,,,
57-26,2,,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
57-27,,,3,1,,3,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,
57-28,4,9,7,4,,5,,8,,,,1,,,1,,,,,,,,,,,,,,,3,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58-1,3,3,1,2,1,3,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,
58-2,,,1,3,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
58-3,2,9,6,6,2,5,6,1,1,,,,1,,,,,,,1,,,,1,,,,,,1,1,,2,,,,
58-4,3,14,30,25,7,22,4,2,2,3,2,,1,,4,,,2,,,,,,,,1,,2,,2,3,,12,1,3,,
58-5,7,7,5,8,5,13,4,1,,2,,,,,2,,,,,,,,,,,,,,,,1,,1,1,,,
58-6,3,7,6,9,4,6,1,1,1,2,,1,1,,1,,,1,,1,,,,,,2,,,,,,,,,1,,
58-7,10,6,9,4,3,12,1,2,2,,,1,,,,1,1,1,1,1,,,,,,1,,,,2,,,1,,,,
58-8,1,1,5,6,2,2,,1,,,,,,,,1,,,,,,1,,,,1,,,,1,,1,,,,,
58-9,4,6,5,6,6,13,3,,2,1,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,
58-10,5,4,4,8,4,13,3,1,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,
58-11,2,4,10,3,5,13,1,,,1,2,,,,1,,,1,,,,,,,,1,,1,1,1,2,,1,,1,,
58-12,2,4,7,6,2,10,2,,,,2,,,,1,,,,,3,,,,,,,,,,,,1,1,,1,,
58-13,1,13,5,8,6,11,3,4,,1,3,,2,,1,,1,,,,,,,,,,,,,,1,,1,,1,,
58-14,6,2,2,5,2,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,
58-15,1,1,1,1,,5,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
58-16,3,12,12,21,9,16,,3,2,2,5,,,,,1,,,,,,,,,,2,,,,5,1,2,1,,,,
58-17,,6,4,2,7,9,4,,1,,1,,,,,1,,1,,,,,,,,,1,,,1,,,,,,,
58-18,,3,1,3,1,4,,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,
58-19,4,14,6,14,4,8,1,3,1,2,4,1,2,,1,,,1,,,,,,,,,,1,,1,,,2,,,,
58-20,1,7,,2,1,7,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
58-21,6,7,8,13,4,20,1,4,,,,1,1,,1,2,1,,,,,,,,,,1,,,,,1,2,,,,
58-22,2,10,5,8,7,10,5,2,,3,,,,,1,1,,,,1,,,,,,,,,,,,,1,1,,,
58-23,1,4,5,7,7,12,2,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,2,,1,,
58-24,2,12,10,9,3,13,3,4,1,2,1,1,,,,1,1,,2,1,,,,,,,,,1,1,,,3,,,,
58-25,2,9,4,11,1,6,6,,,3,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,
58-26,6,5,4,5,3,10,,2,1,,2,,,,1,,,1,,,,,,,,,,,,1,,,,,1,,
58-27,5,5,6,3,2,7,1,1,,3,,,,,,,,,1,,,,,,,,,,,3,,,,1,1,,
58-28,6,6,2,5,2,9,,1,1,1,1,,2,,,,,,,,,,,,,,,,,,1,,1,,,,
58-29,6,11,6,10,4,18,3,4,1,2,1,,,,3,,,3,,,,,,,,,,,,,,,,,,,
58-30,4,2,4,4,,10,,,1,,1,,,,,1,,1,,,,,,,,,2,,,,,,,,,,
58-31,2,5,3,9,3,6,1,1,,,2,1,,,,,,,,1,,,,,,,,,,,1,,1,,,,
58-32,,3,1,5,1,5,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
58-33,2,8,3,5,3,4,3,1,3,,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,
58-34,1,3,10,2,3,5,1,,,,,1,1,,1,,,2,,4,,,,,,,,,,,,1,2,,,,
58-35,9,22,4,13,5,5,2,2,5,6,4,,3,,,,1,,,1,1,,,,,,,,,1,,,,,,,
58-36,,1,1,1,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
58-37,5,5,2,4,2,6,2,,,1,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,,
58-38,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58-39,1,15,15,11,4,15,5,1,3,3,3,,,,2,1,,,1,,1,,,1,,,,,,1,,1,7,,,,
58-40,1,3,1,3,2,3,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
58-41,8,24,27,24,10,34,6,6,3,4,3,2,,,3,,,3,,,,,,1,,2,,,,2,3,1,9,1,2,,
58-42,1,4,1,8,3,6,2,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,
58-43,1,5,4,6,3,7,,1,1,,3,,,,,,1,,,,,,,,,,,,,,1,,2,,,,
58-44,3,3,2,8,2,12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-2,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-4,0,0,1,1,0,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
59-5,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-10,0,0,2,0,0,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
59-11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-12,2,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-13,0,1,2,0,0,1,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,
59-14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-15,0,1,0,4,0,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
59-16,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-17,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-18,1,1,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-20,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-21,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-22,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
59-23,2,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-24,2,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-25,1,2,0,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-2,0,1,0,0,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
60-3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-5,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-7,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-8,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-9,0,1,3,0,0,0,,,,,,,1,,,,,,,,,,1,,,,,,2,,,,,,,,
60-10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-12,0,0,1,2,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
60-13,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
60-14,0,1,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-15,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-16,0,1,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
60-17,0,0,1,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
60-18,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-20,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-21,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-22,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-23,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-1,1,1,2,0,0,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
61-2,0,1,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-3,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-4,0,1,1,1,0,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
61-5,2,1,0,0,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
61-6,0,2,0,2,1,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
61-7,0,0,2,1,2,3,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
61-8,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-9,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
61-10,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-11,1,0,1,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
61-12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-13,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-14,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-15,0,0,1,4,0,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
61-16,0,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-17,0,3,2,1,0,0,2,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
61-18,0,2,0,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
61-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-20,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-21,1,1,0,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
61-22,2,2,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-23,0,3,1,2,0,1,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
61-24,2,1,0,2,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-25,0,2,0,1,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-26,0,1,1,1,0,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
61-27,0,3,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-28,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-1,0,2,2,0,0,1,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,
62-2,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-3,0,2,0,4,1,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
62-4,0,1,1,1,0,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
62-5,0,3,0,0,0,6,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
62-6,1,0,1,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
62-7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-8,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-9,1,1,2,1,0,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
62-10,0,1,2,0,0,0,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
62-11,4,2,2,2,0,2,,,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
62-12,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-13,0,2,1,3,0,3,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
62-14,0,2,1,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
62-15,0,2,1,4,1,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
62-16,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
62-17,0,3,2,4,0,5,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
62-18,0,2,1,4,0,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,
62-19,1,0,2,4,1,2,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
62-20,0,0,0,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-21,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62-22,0,2,3,1,2,1,,,,,,2,,,,,,1,,,,,,,,,,,,1,,1,,,,,
62-23,2,2,0,2,1,8,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
62-24,1,2,1,1,0,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
62-25,1,2,1,2,2,3,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
62-26,0,0,1,2,2,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63-1,4,15,8,8,5,17,2,2,,1,9,,1,,,1,,1,,,,,,1,,,,,,3,,,2,,,,
63-2,5,10,6,8,5,14,3,1,,2,4,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,,
63-3,8,16,10,12,4,20,3,1,1,2,7,,2,,2,,,2,,,1,,,1,,,,1,,,1,,1,,1,,
63-4,2,22,17,25,6,15,4,,,,14,1,3,,,3,,3,,,,,,1,,,,1,,1,1,,7,,,,
63-5,8,7,3,10,6,10,2,2,,1,1,,1,,,,1,,,,,,,,,,,,,1,1,,,,,,
63-6,,9,11,7,11,6,2,3,,1,2,1,,,1,,1,1,,2,1,,,,2,1,1,,,,,,1,,,,
63-7,3,5,5,3,,4,2,,,1,1,,1,,,,,,,2,,,,,,,1,,,,,,2,,,,
63-8,2,10,6,10,7,15,2,1,1,1,5,,,,,1,1,,,,1,,,,,,,,,1,,2,,,,,
63-9,1,9,10,16,4,18,1,,1,1,6,,,,,,,,,2,1,,,,,,1,,,1,3,,,,2,,
63-10,2,14,7,14,21,16,,1,1,,11,,1,,,1,,1,1,,,,,,,1,,1,,,2,,,,,,
63-11,2,12,12,11,9,21,3,2,1,2,2,,2,,1,3,,1,1,1,,,,,,,,,,1,1,,2,,1,,
63-12,3,7,6,4,5,10,2,1,,,4,,,,1,1,,,1,,,,,,,,,,,,,,2,,1,,
63-13,4,9,7,4,3,21,3,1,1,2,1,,1,,1,,1,,,,,1,,,,,,,,,2,1,,1,,,
63-14,3,5,12,12,5,22,2,,,1,2,,,,3,,,1,,,1,,,1,,1,,,,,2,1,1,,1,,
63-15,5,8,5,6,3,20,2,1,1,2,2,,,,,,,,,,,,,,,,1,1,,,3,,,,,,
63-16,7,10,3,8,4,10,3,,1,1,4,,1,,,,,,,,,,,,,,1,,1,1,,,,,,,
63-17,2,6,4,8,6,16,1,1,2,2,,,,,1,,,,1,,,,,,,,,,,2,,,,,,,
63-18,2,8,4,13,2,13,3,,,1,4,,,,,1,,,,,,,,,,,,2,,,,,1,,,,
63-19,2,15,4,13,6,8,1,,1,1,9,1,2,,,,,,,,,,,,,,,,,,,,4,,,,
63-20,3,6,3,7,5,12,4,1,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,
63-21,,3,8,7,5,8,2,,,,1,,,,2,,,1,,,,,,,,,,2,,,,,3,,,,
63-22,1,3,2,9,3,3,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,
63-23,3,12,8,10,5,20,7,1,2,1,,,1,,,1,2,,,1,,,,,,1,,,1,,1,1,,,,,
63-24,1,4,3,9,1,13,2,1,,1,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,
63-25,2,4,3,4,1,9,1,1,2,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-1,0,3,4,2,2,10,,,1,1,,,1,,1,,,,,,,,,,,,1,,,1,1,,,,,,
64-2,2,3,6,13,7,17,,1,1,1,,,,,,1,,1,,,,,,,,1,,,,1,1,1,,,,,
64-3,3,5,3,9,2,3,1,2,,1,1,,,,,,,,1,,,,,,,,,,1,1,,,,,,,
64-4,3,9,6,11,1,8,4,3,1,,1,,,,2,,1,,,,1,,,,,,,,,,,,2,,,,
